"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10656",-0.7147,0.24,46.0384,2
"10657",-0.9176,0.1,41.5779,2
"10659",-0.7751,-0.17,51.5137,2.5
"10662",1.3306,0.1,49.3142,3
"10663",0.8459,-1.41,48.3826,2.5
"10664",-0.4046,0.95,51.6894,2.5
"10665",0.621,-0.3,43.2111,1.5
"10666",1.1217,0.1,62.9028,3.5
"10667",-0.3566,-0.58,41.2587,2
"10668",0.1173,-0.17,40.9487,2
"10669",1.1166,0.51,39.9313,1.5
"10672",-0.0289,-0.17,51.1218,2
"10673",-0.9551,-0.61,51.4198,0.5
"10674",1.1745,-1.41,60.0416,3
"10675",-0.3551,0.1,40.7497,3
"10677",0.5316,-1.68,50.3951,2
"10678",1.3101,0.82,59.5898,3
"10679",-0.6812,-7,43.4604,0.25
"10680",0.3952,0.1,50.326,1.5
"10687",0.756,0.82,57.8184,2
"10688",-0.3173,1.62,64.2884,3.5
"10689",-0.8455,-7,54.5261,3
"10691",-0.9072,-0.69,52.7325,3
"10692",0.2587,0.1,46.44,0.5
"10694",-0.4806,-7,53.5843,2
"10695",0.6152,-0.17,44.6832,3
"10697",0.7541,-7,49.179,2.5
"10700",1.0828,0.95,63.0841,3
"10701",0.8583,0.1,39.9234,3
"10703",-0.1597,-7,43.3737,4
"10705",1.0912,-0.17,46.7213,3
"10706",0.5269,0.78,46.6152,1.5
"10707",-0.3091,-0.56,36.0773,1.5
"10708",1.1097,0.1,59.614,3
"10709",0.273,0.55,62.5611,1.5
"10711",0.3341,0.1,48.1431,2.5
"10712",-0.6714,-0.97,49.0755,0.5
"10713",1.4744,0.1,50.9537,3
"10715",0.8881,1.34,61.289,1.5
"10717",-0.4399,-7,48.4357,2.5
"10719",-0.3693,-1.41,35.3404,1
"10720",-1.2395,0.27,54.6628,3
"10723",1.013,-0.17,54.5382,3.5
"10724",0.308,-0.3,54.4015,3
"10726",1.7902,0.95,52.3973,3
"10727",0.4352,0.9,58.5976,2
"10728",0.2238,0.95,65.2788,4
"10730",0.1646,0.1,55.3994,3.5
"10731",-0.5506,-0.17,47.3738,2.5
"10732",-1.0862,-0.17,60.2833,1.5
"10733",-0.4549,-7,54.1823,3
"10736",-0.2285,0.1,56.236,2.5
"10737",0.7961,0.27,66.0161,4
"10738",0.2391,-0.56,60.0664,3.5
"10740",-0.3641,-0.58,40.3814,2
"10741",-0.4404,-9,28.2335,1.5
"10742",-0.6333,-9,53.8705,4
"10744",-0.0226,0.1,51.4891,3
"10747",-0.5789,0.16,45.4674,2
"10751",1.2149,1.34,60.7125,4
"10752",1.433,-0.17,59.4938,2
"10756",0.4308,1.34,61.8085,3.5
"10757",-1.2098,-1.24,44.2369,1
"10759",-0.3431,0.95,52.9801,2
"10761",1.0326,1.62,54.744,4
"10764",-0.1908,-0.58,58.4062,1.5
"10765",-0.1277,-0.17,53.5884,2.5
"10768",-1.0525,-7,31.1177,3.5
"10770",0.3538,-2.65,44.343,2.5
"10771",0.4895,0.1,46.6853,2
"10772",-0.387,-7,50.1703,3
"10773",-1.3419,1.17,51.7005,0.5
"10775",0.2484,0.1,36.1288,2
"10776",-0.101,0.49,46.6643,2
"10780",0.5529,0.1,51.3831,2
"10782",1.2635,-1.02,52.5833,2
"10785",-0.2606,-1.41,46.9318,2.5
